artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
The Verve,Sonnet,MelodicWanderer,False,261360,39,0.438,-7.285,91.086,0.139,0.725,0.367,0.225,0.025,"['britpop', 'permanent wave', 'rock', 'shoegaze']",1997
Mumford & Sons,Forever,MelodicWanderer,False,276780,44,0.388,-10.096,137.693,0.386,0.371,0.0958,0.121,0.0405,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",2018
Taylor Swift,my tears ricochet,MelodicWanderer,False,255893,79,0.469,-10.63,129.86,0.806,0.263,0.112,0.0749,0.0329,['pop'],2020
Taylor Swift,hoax,MelodicWanderer,False,220042,64,0.662,-15.065,118.819,0.966,0.181,0.429,0.133,0.0415,['pop'],2020
Stephen Sanchez,Only Girl,MelodicWanderer,False,159314,56,0.514,-7.038,137.976,0.0406,0.665,0.411,0.384,0.0294,['gen z singer-songwriter'],2023
Stephen Sanchez,High,MelodicWanderer,False,161567,72,0.432,-7.933,176.009,0.0876,0.714,0.322,0.27,0.0384,['gen z singer-songwriter'],2023
Stephen Sanchez,Be More,MelodicWanderer,False,231684,59,0.227,-7.159,98.323,0.293,0.439,0.104,0.137,0.0271,['gen z singer-songwriter'],2023
Greyson Chance,Good as Gold,MelodicWanderer,False,205746,41,0.48,-6.155,84.846,0.302,0.587,0.236,0.104,0.0351,"['post-teen pop', 'viral pop']",2018
Marika Hackman,Claude's Girl,MelodicWanderer,False,158422,44,0.444,-20.499,141.325,0.962,0.0629,0.225,0.097,0.035,['ambient folk'],2015
Lana Del Rey,Change,MelodicWanderer,False,321200,30,0.558,-10.914,85.672,0.942,0.246,0.303,0.106,0.0409,"['art pop', 'pop']",2017
Alec Benjamin,Gotta Be A Reason,MelodicWanderer,False,210353,52,0.771,-7.582,79.997,0.806,0.518,0.277,0.104,0.0404,"['alt z', 'pop', 'pov: indie']",2018
Stephen Sanchez,I Want You,MelodicWanderer,False,210453,53,0.499,-9.689,125.991,0.815,0.313,0.233,0.103,0.0288,['gen z singer-songwriter'],2021
Stephen Sanchez,The Pool,MelodicWanderer,False,291826,56,0.438,-7.414,93.992,0.899,0.527,0.403,0.131,0.0263,['gen z singer-songwriter'],2021
Stephen Sanchez,Love Life,MelodicWanderer,False,218533,46,0.557,-6.46,135.064,0.658,0.483,0.387,0.165,0.0265,['gen z singer-songwriter'],2021
Stephen Sanchez,Hey Girl,MelodicWanderer,False,185906,60,0.389,-7.777,121.775,0.538,0.505,0.244,0.216,0.037,['gen z singer-songwriter'],2022
Stephen Sanchez,See The Light,MelodicWanderer,False,180146,62,0.728,-5.33,117.925,0.162,0.796,0.691,0.196,0.0461,['gen z singer-songwriter'],2022
Stephen Sanchez,Mountain Peaks,MelodicWanderer,False,208400,51,0.473,-8.144,118.073,0.671,0.424,0.297,0.336,0.0355,['gen z singer-songwriter'],2022
Isak Danielson,Last Song,MelodicWanderer,False,215366,27,0.511,-6.899,131.743,0.722,0.274,0.376,0.0807,0.0307,['swedish singer-songwriter'],2020
The Walters,I Love You So,MelodicWanderer,False,160239,87,0.575,-4.891,75.977,0.583,0.648,0.466,0.115,0.0358,"['chicago indie', 'pov: indie']",2014
Ben Howard,Promise,MelodicWanderer,False,384080,59,0.368,-15.736,156.465,0.889,0.189,0.178,0.364,0.0383,"['british singer-songwriter', 'folk-pop', 'indie folk']",2011
Jess Benko,My Moon,MelodicWanderer,False,295008,31,0.682,-16.591,117.876,0.987,0.0907,0.215,0.0681,0.0402,['gen z singer-songwriter'],2019
Jess Benko,A Soulmate Who Wasn’t Meant to Be,MelodicWanderer,False,316556,61,0.571,-20.274,124.209,0.948,0.0274,0.087,0.322,0.0649,['gen z singer-songwriter'],2019
Johnny Parker,Crushed,MelodicWanderer,False,181134,2,0.487,-16.731,80.113,0.978,0.194,0.132,0.0934,0.0377,[],2020
Imagine Dragons,Don’t Forget Me,MelodicWanderer,False,178480,64,0.585,-7.139,100.005,0.00746,0.499,0.336,0.117,0.0272,"['modern rock', 'pop', 'rock']",2024
FINNEAS,Break My Heart Again,MelodicWanderer,False,237979,67,0.401,-14.227,144.137,0.905,0.151,0.478,0.0942,0.042,"['alt z', 'la indie', 'pop', 'pov: indie']",2020
FINNEAS,Lost My Mind,MelodicWanderer,False,169765,47,0.663,-11.042,134.674,0.769,0.276,0.0706,0.226,0.0711,"['alt z', 'la indie', 'pop', 'pov: indie']",2019
FINNEAS,Die Alone,MelodicWanderer,False,261471,50,0.435,-11.831,103.001,0.943,0.0885,0.13,0.105,0.0314,"['alt z', 'la indie', 'pop', 'pov: indie']",2019
