artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Etta James,Something's Got A Hold On Me,Spotify,False,169746,66,0.469,-6.104,151.394,0.785,0.584,0.649,0.811,0.0832,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",2010
Jimi Hendrix,Purple Haze,Spotify,False,170813,66,0.533,-5.27,108.9,0.00876,0.905,0.486,0.0698,0.0754,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock']",1960
Jefferson Airplane,White Rabbit,Spotify,False,150640,66,0.551,-12.503,106.798,0.486,0.293,0.322,0.0864,0.0272,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'folk rock']",1960
Patsy Cline,Crazy - Single Version,Spotify,False,164573,66,0.471,-24.385,107.796,0.931,0.021,0.356,0.103,0.0366,"['country', 'nashville sound']",1960
Johnny Cash,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Spotify,False,162653,66,0.621,-15.269,110.586,0.0652,0.524,0.889,0.893,0.0803,"['arkansas country', 'outlaw country', 'rock']",1960
The Lovin' Spoonful,Do You Believe in Magic?,Spotify,False,125826,66,0.553,-7.963,138.602,0.213,0.738,0.759,0.339,0.0457,"['bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock']",1960
Otis Redding,Hard to Handle,Spotify,False,141000,66,0.666,-8.672,95.552,0.573,0.55,0.961,0.122,0.0612,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']",2010
Led Zeppelin,Good Times Bad Times - 1993 Remaster,Spotify,False,166266,65,0.476,-9.192,93.584,0.0382,0.717,0.753,0.0818,0.0949,"['album rock', 'classic rock', 'hard rock', 'rock']",1960
Aretha Franklin,Think,Spotify,False,139733,65,0.687,-10.817,110.051,0.251,0.63,0.926,0.221,0.0389,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",1960
The Beatles,I Saw Her Standing There - Remastered 2009,Spotify,False,173946,65,0.491,-9.835,160.109,0.27,0.801,0.971,0.0665,0.0361,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1960
The Rolling Stones,You Can't Always Get What You Want,Spotify,False,448720,65,0.32,-9.686,86.327,0.64,0.62,0.472,0.253,0.0594,"['album rock', 'british invasion', 'classic rock', 'rock']",1960
Bob Dylan,Blowin' in the Wind,Spotify,False,165426,65,0.38,-20.567,174.874,0.914,0.0993,0.44,0.0605,0.0509,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock']",1960
The Monkees,Daydream Believer,Spotify,False,179613,65,0.51,-10.304,125.683,0.256,0.488,0.649,0.11,0.0304,"['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'folk rock']",1960
Bee Gees,I Started A Joke,Spotify,False,188306,65,0.31,-8.755,144.775,0.156,0.464,0.431,0.132,0.0275,"['disco', 'mellow gold', 'soft rock']",1960
The Beach Boys,Don't Worry Baby - Remastered 2001,Spotify,False,169933,64,0.486,-9.821,121.243,0.0666,0.465,0.851,0.105,0.03,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock']",1960
Skeeter Davis,The End of the World,Spotify,False,157573,64,0.232,-10.674,94.268,0.936,0.216,0.432,0.246,0.0314,['nashville sound'],1990
